Year, Intensity_0.25hr_inph, Intensity_0.50hr_inph, Intensity_1hr_inph, Intensity_2hr_inph, Intensity_3hr_inph
1973,                   0.4,                  0.22,               0.18,                   ,   
1974,                   0.8,                  0.44,               0.27,              0.145,  0.13
1975,                      ,                      ,                   ,              0.19 ,  0.163333333333333
1976,                   0.4,                  1   ,               0.62,              0.43 ,  0.39
1977,                   0.4,                  0.4 ,               0.18,              0.19 ,  0.13
1978,                      ,                  0.4 ,               0.27,              0.19 ,  0.163333333333333
1979,                   0.4,                  0.22,               0.18,              0.145,  0.13
1981,                      ,                  0.66,                   ,                   ,   
1982,                   1.2,                      ,               0.35,              0.24 ,  0.163333333333333
1983,                      ,                      ,               0.88,                   ,  0.356666666666667
1984,                   4  ,                  2.2 ,                   ,              0.525,   
1985,                   2.4,                  1.4 ,               0.71,              0.38 ,  0.29
1986,                   2  ,                  1.1 ,               0.44,              0.24 ,  0.163333333333333
1987,                   0.4,                  0.4 ,               0.18,              0.145,  0.1
1988,                   0.4,                  0.22,               0.18,              0.19 ,  0.13
1989,                   2.4,                  1.6 ,               0.8 ,              0.43 ,  0.293333333333333
1990,                   0.8,                  0.4 ,               0.27,              0.19 ,  0.163333333333333
1991,                      ,                  0.44,               0.27,              0.19 ,  0.163333333333333
1992,                   1.6,                  1.2 ,               0.8 ,              0.525,  0.356666666666667
1993,                   0.8,                  0.6 ,               0.27,              0.19 ,  0.13
1995,                   0.4,                      ,                   ,              0.19 ,  0.163333333333333
1996,                      ,                  0.4 ,               0.27,                   ,   
1998,                   1.2,                  0.8 ,               0.44,              0.285,  0.226666666666667
1999,                   0.4,                  0.4 ,               0.18,              0.145,  0.13
2000,                   0.4,                  0.4 ,               0.27,              0.145,  0.13
2001,                   0.4,                  0.4 ,               0.27,              0.19 ,  0.163333333333333
2002,                   0.4,                  0.4 ,               0.27,              0.19 ,  0.163333333333333
2003,                   0.8,                  0.6 ,               0.27,              0.19 ,  0.163333333333333
