Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 12 Version 2
Data type: Precipitation intensity
Time series type: Partial duration
Project area: Interior Northwest
Location name (ESRI Maps): Boise, Idaho, USA
Station Name: -
Latitude: 43.6192 Degree
Longitude: -116.1331 Degree
Elevation (USGS): 3385 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 1.32,2.04,3.18,4.08,5.27,6.13,6.96,7.76,8.75,9.44
10-min:, 0.918,1.42,2.21,2.83,3.65,4.25,4.83,5.38,6.07,6.55
15-min:, 0.708,1.10,1.71,2.19,2.83,3.30,3.74,4.17,4.70,5.07
30-min:, 0.432,0.668,1.04,1.34,1.72,2.01,2.28,2.54,2.86,3.09
60-min:, 0.260,0.400,0.620,0.796,1.03,1.19,1.36,1.51,1.70,1.84
2-hr:, 0.182,0.256,0.374,0.468,0.593,0.686,0.776,0.863,0.973,1.05
3-hr:, 0.150,0.199,0.278,0.342,0.428,0.492,0.554,0.616,0.695,0.752
6-hr:, 0.105,0.130,0.170,0.203,0.248,0.283,0.317,0.352,0.397,0.431
12-hr:, 0.071,0.084,0.105,0.123,0.147,0.167,0.186,0.206,0.233,0.254
24-hr:, 0.047,0.054,0.065,0.075,0.089,0.100,0.111,0.122,0.138,0.150
2-day:, 0.029,0.033,0.040,0.045,0.053,0.059,0.065,0.071,0.079,0.085
3-day:, 0.022,0.025,0.030,0.034,0.039,0.043,0.047,0.051,0.057,0.061
4-day:, 0.018,0.020,0.024,0.028,0.032,0.035,0.038,0.042,0.046,0.048
7-day:, 0.012,0.014,0.017,0.019,0.022,0.024,0.026,0.028,0.031,0.033
10-day:, 0.010,0.011,0.013,0.015,0.017,0.019,0.021,0.023,0.025,0.026
20-day:, 0.007,0.008,0.009,0.010,0.012,0.013,0.014,0.015,0.016,0.017
30-day:, 0.006,0.006,0.007,0.008,0.009,0.010,0.011,0.012,0.012,0.013
45-day:, 0.005,0.005,0.006,0.007,0.008,0.008,0.009,0.009,0.010,0.010
60-day:, 0.004,0.005,0.005,0.006,0.007,0.007,0.007,0.008,0.008,0.009

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 1.52,2.39,3.80,4.98,6.59,7.81,9.08,10.5,12.6,14.3
10-min:, 1.06,1.66,2.64,3.46,4.57,5.42,6.30,7.30,8.75,9.94
15-min:, 0.820,1.29,2.05,2.68,3.54,4.20,4.88,5.66,6.78,7.70
30-min:, 0.500,0.784,1.25,1.63,2.16,2.56,2.97,3.45,4.13,4.69
60-min:, 0.300,0.468,0.743,0.971,1.28,1.52,1.77,2.05,2.46,2.79
2-hr:, 0.206,0.296,0.442,0.562,0.730,0.860,1.000,1.16,1.39,1.58
3-hr:, 0.168,0.227,0.324,0.406,0.520,0.610,0.707,0.820,0.986,1.13
6-hr:, 0.116,0.145,0.194,0.235,0.294,0.343,0.396,0.458,0.552,0.631
12-hr:, 0.078,0.092,0.117,0.138,0.169,0.195,0.224,0.258,0.310,0.355
24-hr:, 0.051,0.059,0.072,0.083,0.100,0.113,0.129,0.148,0.177,0.202
2-day:, 0.032,0.036,0.044,0.050,0.059,0.067,0.075,0.085,0.101,0.113
3-day:, 0.024,0.027,0.033,0.037,0.044,0.049,0.055,0.062,0.073,0.082
4-day:, 0.020,0.022,0.027,0.031,0.036,0.040,0.045,0.050,0.059,0.065
7-day:, 0.014,0.015,0.019,0.021,0.025,0.028,0.031,0.035,0.041,0.045
10-day:, 0.011,0.012,0.015,0.017,0.020,0.022,0.025,0.028,0.033,0.036
20-day:, 0.007,0.008,0.010,0.011,0.013,0.015,0.016,0.018,0.021,0.023
30-day:, 0.006,0.007,0.008,0.009,0.010,0.012,0.013,0.014,0.016,0.018
45-day:, 0.005,0.006,0.007,0.007,0.009,0.009,0.010,0.011,0.013,0.014
60-day:, 0.005,0.005,0.006,0.007,0.007,0.008,0.009,0.010,0.011,0.012

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 1.13,1.78,2.70,3.40,4.19,4.68,4.99,5.23,5.51,5.77
10-min:, 0.786,1.23,1.87,2.36,2.90,3.25,3.46,3.63,3.82,4.01
15-min:, 0.608,0.952,1.45,1.83,2.25,2.51,2.68,2.81,2.96,3.10
30-min:, 0.372,0.580,0.884,1.11,1.37,1.53,1.63,1.71,1.80,1.89
60-min:, 0.223,0.346,0.527,0.663,0.816,0.911,0.971,1.02,1.07,1.12
2-hr:, 0.158,0.226,0.323,0.396,0.480,0.534,0.570,0.599,0.630,0.661
3-hr:, 0.134,0.178,0.243,0.293,0.351,0.389,0.416,0.437,0.460,0.482
6-hr:, 0.095,0.117,0.151,0.177,0.209,0.230,0.247,0.261,0.277,0.290
12-hr:, 0.065,0.076,0.094,0.109,0.128,0.141,0.154,0.166,0.180,0.189
24-hr:, 0.043,0.049,0.059,0.068,0.079,0.088,0.096,0.104,0.115,0.123
2-day:, 0.027,0.030,0.036,0.041,0.047,0.052,0.056,0.061,0.066,0.070
3-day:, 0.020,0.023,0.027,0.030,0.035,0.038,0.041,0.044,0.048,0.050
4-day:, 0.016,0.019,0.022,0.025,0.028,0.031,0.033,0.036,0.038,0.040
7-day:, 0.011,0.013,0.015,0.017,0.019,0.021,0.023,0.024,0.026,0.027
10-day:, 0.009,0.010,0.012,0.013,0.015,0.017,0.018,0.019,0.021,0.022
20-day:, 0.006,0.007,0.008,0.009,0.010,0.011,0.012,0.013,0.013,0.014
30-day:, 0.005,0.006,0.007,0.007,0.008,0.009,0.009,0.010,0.011,0.011
45-day:, 0.004,0.005,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.009
60-day:, 0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.008

Date/time (GMT):  Sun Apr 13 08:50:25 2025
pyRunTime:  0.0070645809173583984
