Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation intensity
Time series type: Annual maximum
Project area: Southwest
Location name (ESRI Maps): Los Angeles, California, USA
Station Name: -
Latitude: 33.9425 Degree
Longitude: -118.4090 Degree
Elevation (USGS): 120 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 1.92,2.80,3.40,4.19,4.81,5.45,6.12,7.07,7.81
10-min:, 1.37,2.01,2.43,3.00,3.44,3.91,4.39,5.06,5.60
15-min:, 1.11,1.62,1.96,2.42,2.78,3.15,3.54,4.08,4.51
30-min:, 0.752,1.10,1.33,1.64,1.89,2.14,2.41,2.77,3.07
60-min:, 0.534,0.782,0.947,1.17,1.34,1.52,1.71,1.97,2.18
2-hr:, 0.387,0.567,0.686,0.842,0.964,1.09,1.22,1.39,1.53
3-hr:, 0.315,0.463,0.559,0.686,0.784,0.884,0.987,1.13,1.24
6-hr:, 0.219,0.323,0.392,0.481,0.549,0.619,0.690,0.787,0.862
12-hr:, 0.136,0.204,0.248,0.306,0.350,0.395,0.441,0.503,0.552
24-hr:, 0.087,0.132,0.161,0.200,0.229,0.259,0.290,0.332,0.365
2-day:, 0.052,0.080,0.099,0.123,0.142,0.161,0.181,0.208,0.229
3-day:, 0.038,0.060,0.075,0.093,0.108,0.123,0.139,0.160,0.176
4-day:, 0.031,0.050,0.062,0.078,0.091,0.104,0.117,0.135,0.149
7-day:, 0.020,0.033,0.041,0.052,0.061,0.070,0.079,0.092,0.102
10-day:, 0.015,0.025,0.032,0.040,0.047,0.054,0.061,0.072,0.080
20-day:, 0.009,0.015,0.019,0.024,0.029,0.033,0.038,0.044,0.050
30-day:, 0.007,0.012,0.015,0.019,0.022,0.026,0.030,0.035,0.039
45-day:, 0.006,0.009,0.011,0.015,0.017,0.020,0.023,0.027,0.031
60-day:, 0.005,0.008,0.010,0.012,0.015,0.017,0.019,0.023,0.026

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 2.30,3.38,4.14,5.29,6.22,7.25,8.39,10.1,11.6
10-min:, 1.66,2.42,2.96,3.80,4.46,5.20,6.01,7.25,8.32
15-min:, 1.34,1.96,2.39,3.06,3.60,4.19,4.85,5.84,6.70
30-min:, 0.908,1.33,1.63,2.08,2.44,2.85,3.30,3.97,4.56
