Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation intensity
Time series type: Annual maximum
Project area: Southwest
Location name (ESRI Maps): Los Angeles, California, USA
Station Name: -
Latitude: 33.9432 Degree
Longitude: -118.3847 Degree
Elevation (USGS): 100 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 1.96,2.82,3.41,4.19,4.81,5.45,6.12,7.06,7.81
10-min:, 1.40,2.02,2.44,3.01,3.44,3.91,4.39,5.06,5.60
15-min:, 1.13,1.63,1.97,2.42,2.78,3.15,3.54,4.08,4.51
30-min:, 0.768,1.11,1.34,1.65,1.89,2.14,2.41,2.78,3.07
60-min:, 0.545,0.787,0.950,1.17,1.34,1.52,1.71,1.97,2.18
2-hr:, 0.394,0.572,0.690,0.846,0.966,1.09,1.22,1.40,1.54
3-hr:, 0.320,0.467,0.563,0.690,0.787,0.887,0.990,1.13,1.24
6-hr:, 0.222,0.327,0.395,0.485,0.553,0.623,0.694,0.791,0.867
12-hr:, 0.137,0.206,0.251,0.309,0.353,0.398,0.444,0.506,0.554
24-hr:, 0.087,0.133,0.163,0.202,0.232,0.262,0.293,0.335,0.368
2-day:, 0.051,0.081,0.100,0.125,0.144,0.163,0.183,0.210,0.231
3-day:, 0.038,0.060,0.074,0.093,0.108,0.123,0.139,0.160,0.176
4-day:, 0.031,0.050,0.063,0.079,0.092,0.105,0.118,0.136,0.151
7-day:, 0.020,0.033,0.042,0.053,0.062,0.071,0.080,0.093,0.103
10-day:, 0.015,0.025,0.032,0.041,0.048,0.055,0.062,0.073,0.081
20-day:, 0.009,0.015,0.019,0.025,0.029,0.034,0.038,0.045,0.050
30-day:, 0.007,0.012,0.015,0.019,0.023,0.026,0.030,0.035,0.040
45-day:, 0.006,0.009,0.011,0.015,0.017,0.020,0.023,0.027,0.031
60-day:, 0.005,0.008,0.010,0.012,0.014,0.017,0.019,0.023,0.026

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 2.36,3.41,4.15,5.30,6.23,7.25,8.39,10.1,11.6
10-min:, 1.69,2.45,2.98,3.80,4.46,5.19,6.01,7.25,8.32
15-min:, 1.36,1.97,2.40,3.06,3.60,4.18,4.84,5.84,6.70
30-min:, 0.928,1.34,1.63,2.09,2.45,2.85,3.30,3.98,4.56
60-min:, 0.657,0.952,1.16,1.48,1.74,2.02,2.34,2.82,3.24
2-hr:, 0.476,0.692,0.842,1.07,1.25,1.45,1.67,2.00,2.28
3-hr:, 0.386,0.564,0.687,0.873,1.02,1.18,1.36,1.62,1.84
6-hr:, 0.267,0.395,0.482,0.614,0.716,0.828,0.951,1.13,1.29
12-hr:, 0.166,0.249,0.306,0.391,0.457,0.529,0.608,0.724,0.823
24-hr:, 0.100,0.154,0.190,0.244,0.285,0.330,0.380,0.452,0.513
2-day:, 0.059,0.093,0.116,0.150,0.177,0.206,0.237,0.284,0.323
3-day:, 0.043,0.069,0.087,0.113,0.133,0.155,0.180,0.216,0.246
4-day:, 0.036,0.058,0.073,0.095,0.113,0.132,0.153,0.184,0.210
7-day:, 0.023,0.038,0.049,0.064,0.076,0.089,0.104,0.126,0.144
10-day:, 0.018,0.029,0.037,0.049,0.059,0.069,0.081,0.098,0.113
20-day:, 0.011,0.018,0.022,0.030,0.036,0.042,0.050,0.061,0.070
30-day:, 0.008,0.014,0.017,0.023,0.028,0.033,0.039,0.048,0.055
45-day:, 0.007,0.010,0.013,0.018,0.021,0.025,0.030,0.037,0.043
60-day:, 0.006,0.009,0.011,0.015,0.018,0.021,0.025,0.031,0.036

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 1.63,2.36,2.82,3.35,3.76,4.14,4.51,4.98,5.32
10-min:, 1.18,1.69,2.02,2.40,2.69,2.97,3.23,3.57,3.80
15-min:, 0.948,1.36,1.63,1.93,2.17,2.39,2.61,2.88,3.07
30-min:, 0.644,0.928,1.11,1.32,1.48,1.63,1.78,1.96,2.09
60-min:, 0.457,0.658,0.787,0.933,1.05,1.16,1.26,1.39,1.48
2-hr:, 0.330,0.478,0.572,0.676,0.754,0.829,0.899,0.985,1.04
3-hr:, 0.268,0.390,0.467,0.551,0.614,0.674,0.730,0.798,0.844
6-hr:, 0.186,0.273,0.328,0.387,0.432,0.474,0.512,0.558,0.590
12-hr:, 0.115,0.172,0.208,0.246,0.275,0.302,0.327,0.357,0.377
24-hr:, 0.077,0.117,0.143,0.171,0.192,0.212,0.231,0.253,0.269
2-day:, 0.045,0.071,0.087,0.105,0.119,0.132,0.144,0.159,0.169
3-day:, 0.033,0.053,0.065,0.079,0.090,0.100,0.109,0.121,0.129
4-day:, 0.027,0.044,0.055,0.067,0.076,0.085,0.093,0.103,0.110
7-day:, 0.018,0.029,0.036,0.045,0.051,0.057,0.063,0.070,0.076
10-day:, 0.014,0.022,0.028,0.035,0.040,0.044,0.049,0.055,0.059
20-day:, 0.008,0.013,0.017,0.021,0.024,0.027,0.030,0.034,0.037
30-day:, 0.006,0.010,0.013,0.016,0.019,0.021,0.024,0.027,0.029
45-day:, 0.005,0.008,0.010,0.012,0.014,0.016,0.018,0.020,0.022
60-day:, 0.004,0.007,0.008,0.010,0.012,0.013,0.015,0.017,0.019

Date/time (GMT):  Fri Jul 18 08:02:31 2025
pyRunTime:  0.016515493392944336
