Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation intensity
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): Melbourne, Florida, USA
Station Name: -
Latitude: 28.0958 Degree
Longitude: -80.6308 Degree
Elevation (USGS): 21 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6.67,7.67,9.28,10.6,12.4,13.7,15.0,16.4,18.1,19.4
10-min:, 4.88,5.61,6.79,7.75,9.06,10.0,11.0,12.0,13.2,14.2
15-min:, 3.97,4.56,5.52,6.30,7.36,8.17,8.96,9.75,10.8,11.5
30-min:, 2.95,3.40,4.13,4.72,5.52,6.13,6.72,7.32,8.10,8.68
60-min:, 1.93,2.21,2.67,3.05,3.57,3.97,4.36,4.75,5.27,5.66
2-hr:, 1.19,1.36,1.64,1.87,2.19,2.44,2.68,2.92,3.25,3.49
3-hr:, 0.868,0.996,1.21,1.38,1.63,1.82,2.01,2.21,2.48,2.68
6-hr:, 0.500,0.583,0.725,0.848,1.03,1.17,1.32,1.47,1.68,1.85
12-hr:, 0.283,0.339,0.438,0.526,0.656,0.765,0.879,1.00,1.18,1.31
24-hr:, 0.166,0.198,0.257,0.311,0.395,0.467,0.545,0.630,0.752,0.851
2-day:, 0.099,0.114,0.143,0.172,0.217,0.257,0.301,0.350,0.421,0.480
3-day:, 0.072,0.083,0.103,0.123,0.153,0.181,0.210,0.244,0.292,0.331
4-day:, 0.058,0.066,0.082,0.096,0.120,0.140,0.163,0.187,0.223,0.253
7-day:, 0.040,0.044,0.053,0.061,0.074,0.085,0.098,0.112,0.133,0.150
10-day:, 0.032,0.035,0.041,0.047,0.057,0.065,0.073,0.083,0.097,0.109
20-day:, 0.022,0.024,0.029,0.032,0.038,0.042,0.047,0.052,0.058,0.064
30-day:, 0.018,0.020,0.024,0.027,0.031,0.034,0.037,0.040,0.045,0.048
45-day:, 0.014,0.016,0.019,0.022,0.025,0.027,0.030,0.032,0.035,0.037
60-day:, 0.012,0.014,0.016,0.018,0.021,0.023,0.025,0.027,0.029,0.031

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8.26,9.50,11.5,13.2,15.9,17.9,20.1,22.5,25.5,27.9
10-min:, 6.05,6.95,8.44,9.68,11.6,13.1,14.7,16.4,18.7,20.4
15-min:, 4.92,5.66,6.86,7.87,9.44,10.6,12.0,13.4,15.2,16.6
30-min:, 3.66,4.22,5.13,5.89,7.07,7.97,8.97,10.0,11.4,12.5
60-min:, 2.39,2.74,3.32,3.81,4.58,5.17,5.82,6.52,7.44,8.14
2-hr:, 1.46,1.68,2.03,2.32,2.80,3.15,3.55,3.99,4.56,4.98
3-hr:, 1.06,1.22,1.48,1.71,2.08,2.35,2.67,3.01,3.47,3.81
6-hr:, 0.609,0.711,0.886,1.04,1.31,1.51,1.74,2.00,2.35,2.62
12-hr:, 0.342,0.411,0.531,0.641,0.837,0.986,1.16,1.36,1.64,1.85
24-hr:, 0.199,0.238,0.310,0.377,0.505,0.602,0.718,0.852,1.04,1.19
2-day:, 0.118,0.136,0.172,0.207,0.277,0.330,0.395,0.471,0.582,0.665
3-day:, 0.086,0.098,0.123,0.147,0.195,0.231,0.275,0.327,0.401,0.458
4-day:, 0.069,0.079,0.097,0.115,0.151,0.178,0.212,0.250,0.306,0.348
7-day:, 0.047,0.052,0.062,0.072,0.093,0.108,0.127,0.149,0.181,0.205
10-day:, 0.037,0.041,0.049,0.056,0.070,0.081,0.095,0.110,0.132,0.149
20-day:, 0.026,0.028,0.034,0.038,0.046,0.052,0.059,0.067,0.078,0.086
30-day:, 0.021,0.023,0.027,0.031,0.037,0.041,0.047,0.052,0.059,0.065
45-day:, 0.017,0.019,0.022,0.025,0.030,0.033,0.037,0.041,0.046,0.050
60-day:, 0.014,0.016,0.019,0.021,0.025,0.028,0.031,0.034,0.039,0.042

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 5.52,6.34,7.63,8.66,9.73,10.5,11.1,11.6,12.3,12.8
10-min:, 4.04,4.64,5.59,6.35,7.13,7.72,8.15,8.48,8.99,9.37
15-min:, 3.28,3.77,4.54,5.16,5.79,6.27,6.63,6.90,7.31,7.62
30-min:, 2.44,2.81,3.40,3.86,4.34,4.71,4.98,5.18,5.50,5.74
60-min:, 1.59,1.83,2.20,2.50,2.81,3.05,3.23,3.36,3.58,3.74
2-hr:, 0.988,1.13,1.36,1.54,1.74,1.88,2.00,2.08,2.22,2.32
3-hr:, 0.724,0.830,1.00,1.14,1.30,1.41,1.51,1.58,1.70,1.79
6-hr:, 0.419,0.488,0.605,0.703,0.823,0.913,0.991,1.06,1.17,1.24
12-hr:, 0.238,0.285,0.367,0.438,0.532,0.603,0.668,0.729,0.820,0.889
24-hr:, 0.140,0.167,0.216,0.261,0.324,0.371,0.417,0.462,0.529,0.579
2-day:, 0.084,0.097,0.121,0.144,0.179,0.206,0.232,0.259,0.299,0.329
3-day:, 0.061,0.070,0.087,0.103,0.127,0.145,0.163,0.181,0.208,0.228
4-day:, 0.050,0.056,0.069,0.082,0.099,0.113,0.126,0.139,0.159,0.175
7-day:, 0.034,0.038,0.045,0.052,0.062,0.069,0.077,0.084,0.095,0.104
10-day:, 0.027,0.030,0.035,0.040,0.047,0.052,0.057,0.062,0.070,0.076
20-day:, 0.019,0.021,0.025,0.028,0.031,0.034,0.037,0.039,0.042,0.045
30-day:, 0.015,0.017,0.020,0.023,0.025,0.027,0.029,0.030,0.032,0.034
45-day:, 0.013,0.014,0.017,0.019,0.021,0.022,0.023,0.024,0.025,0.026
60-day:, 0.011,0.012,0.014,0.016,0.018,0.019,0.020,0.020,0.021,0.022

Date/time (GMT):  Tue Apr  8 03:08:23 2025
pyRunTime:  0.016847610473632812
