Year, 15-min Intensity (in/hr), 30-min Intensity (in/hr), 1-hr Intensity (in/hr), 2-hr Intensity (in/hr), 3-hr Intensity (in/hr)
1942,                         ,                         ,                   1.34,                  0.975,    0.6633333333333333
1943,                         ,                         ,                   0.87,                  0.585,    0.5833333333333334
1944,                         ,                         ,                   1.55,                  0.985,    0.6866666666666666
1945,                         ,                         ,                   1.5 ,                  1.105,    0.8633333333333333
1946,                         ,                         ,                   1.35,                  0.775,    0.5333333333333333
1947,                         ,                         ,                   1.98,                  1.25 ,    0.8833333333333333
1948,                         ,                         ,                   2.2 ,                  1.155,    0.8833333333333333
1949,                         ,                         ,                   1.33,                  0.925,    0.75
1950,                         ,                         ,                   1.78,                  0.94 ,    0.6866666666666666
1951,                         ,                         ,                   1.62,                  0.85 ,    0.5766666666666667
1952,                         ,                         ,                   1.65,                  0.95 ,    0.6833333333333332
1953,                         ,                         ,                   2.57,                  1.345,    0.9666666666666667
1956,                         ,                         ,                   1.45,                  0.95 ,    0.82
1959,                         ,                         ,                   1.03,                  0.795,    0.5566666666666666
1960,                         ,                         ,                   1.7 ,                  1.36 ,    0.9233333333333333
1961,                         ,                         ,                   1.65,                  0.955,    0.7566666666666667
1962,                         ,                         ,                   2.34,                  1.375,    1.0
1963,                         ,                         ,                   1.45,                  1.335,    1.1566666666666667
1964,                         ,                         ,                   1.77,                  1.01 ,    0.7166666666666667
1965,                         ,                         ,                   1.36,                  0.75 ,    0.51
1966,                         ,                         ,                   1.35,                  1.06 ,    0.9833333333333334
1967,                         ,                         ,                   1.58,                  1.26 ,    0.8566666666666666
1968,                         ,                         ,                   2.2 ,                  1.155,    0.8666666666666667
1969,                         ,                         ,                   3.4 ,                  2.15 ,    1.7
1970,                         ,                         ,                   1.6 ,                  1.55 ,    1.3666666666666665
1971,                         ,                         ,                   0.9 ,                  0.5  ,    0.34
1972,                     4.8 ,                      3.4,                   2.29,                  1.585,    1.1333333333333333
1973,                     3.6 ,                      3.2,                   2.2 ,                  1.585,    1.1666666666666667
1974,                     3.6 ,                      2.8,                   1.93,                  1.01 ,    0.7333333333333334
1975,                     6.4 ,                      5.4,                   2.94,                  1.685,    1.1666666666666667
1976,                     6.0 ,                      4.4,                   2.29,                  1.825,    1.4000000000000001
1977,                     2.8 ,                      2.0,                   1.47,                  1.345,    1.2
1978,                     4.8 ,                      4.0,                   2.94,                  1.73 ,    1.2
1979,                     4.8 ,                      3.0,                   1.74,                  0.96 ,    0.6666666666666666
1980,                     3.2 ,                      2.0,                   1.01,                  0.53 ,    0.39999999999999997
1981,                     4.0 ,                      2.4,                   1.38,                  0.725,    0.5
1982,                     4.0 ,                      2.6,                   1.47,                  0.865,    0.6333333333333333
1983,                     4.4 ,                      3.8,                   1.74,                  0.915,    0.7000000000000001
1984,                     3.2 ,                      2.8,                   1.93,                  1.395,    1.0666666666666667
1985,                     4.4 ,                      3.8,                   2.84,                  2.065,    1.4333333333333333
1986,                     3.6 ,                      2.8,                   1.38,                  0.77 ,    0.6
1988,                     3.6 ,                      2.0,                   1.28,                  1.06 ,    0.7999999999999999
1989,                         ,                         ,                   1.8 ,                  1.05 ,    0.7666666666666666
1990,                     3.6 ,                      3.4,                   2.39,                  1.345,    0.9666666666666667
1991,                     4.4 ,                      3.0,                   2.2 ,                  1.54 ,    1.0999999999999999
1992,                     4.4 ,                      2.2,                   1.38,                  0.77 ,    0.5666666666666667
1993,                     3.6 ,                      3.6,                   2.29,                  1.345,    0.9333333333333332
1994,                     4.0 ,                      3.8,                   2.48,                  1.49 ,    1.0999999999999999
1998,                     3.6 ,                      2.2,                   1.28,                  0.675,    0.5333333333333333
1999,                     5.2 ,                      4.8,                   2.75,                  1.49 ,    1.1666666666666667
2000,                     6.4 ,                      5.4,                   4.22,                  2.405,    1.7333333333333334
2001,                     5.2 ,                      4.4,                   2.75,                  1.585,    1.0999999999999999
2002,                     2.88,                      2.9,                   2.66,                  1.585,    1.1666666666666667
2003,                     4.0 ,                      3.0,                   1.93,                  1.585,    1.2
2004,                     5.2 ,                      4.0,                   2.2 ,                  1.155,    0.8666666666666667
2005,                     4.4 ,                      3.4,                   1.93,                  1.105,    0.8333333333333334
2006,                     3.2 ,                      2.6,                   1.38,                  0.815,    0.7333333333333334
2008,                     3.2 ,                      2.6,                   1.93,                  1.54 ,    1.3
2009,                     5.2 ,                      4.2,                   2.02,                  1.25 ,    1.0666666666666667
2010,                     3.2 ,                      2.6,                   1.38,                  1.01 ,    0.7666666666666666
