Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation intensity
Time series type: Annual maximum
Project area: Southwest
Location name (ESRI Maps): Los Angeles, California, USA
Station Name: -
Latitude: 34.0522 Degree
Longitude: -118.2433 Degree
Elevation (USGS): 284 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 2.04,2.96,3.60,4.48,5.16,5.89,6.67,7.76,8.65
10-min:, 1.46,2.13,2.59,3.20,3.70,4.22,4.78,5.56,6.20
15-min:, 1.18,1.72,2.08,2.58,2.98,3.40,3.85,4.48,5.00
30-min:, 0.786,1.15,1.39,1.73,1.99,2.27,2.57,3.00,3.34
60-min:, 0.565,0.823,0.999,1.24,1.43,1.63,1.85,2.15,2.40
2-hr:, 0.408,0.600,0.729,0.902,1.04,1.18,1.33,1.54,1.70
3-hr:, 0.338,0.499,0.606,0.750,0.862,0.978,1.10,1.27,1.40
6-hr:, 0.237,0.351,0.427,0.527,0.605,0.686,0.770,0.885,0.977
12-hr:, 0.154,0.229,0.278,0.344,0.395,0.447,0.502,0.577,0.637
24-hr:, 0.100,0.149,0.182,0.225,0.259,0.294,0.331,0.381,0.421
2-day:, 0.062,0.095,0.117,0.146,0.168,0.192,0.216,0.249,0.275
3-day:, 0.047,0.074,0.091,0.114,0.132,0.151,0.170,0.196,0.217
4-day:, 0.038,0.061,0.075,0.095,0.110,0.126,0.142,0.165,0.182
7-day:, 0.025,0.040,0.050,0.064,0.074,0.086,0.097,0.114,0.127
10-day:, 0.019,0.031,0.038,0.049,0.057,0.066,0.075,0.089,0.099
20-day:, 0.011,0.018,0.023,0.030,0.035,0.041,0.047,0.056,0.063
30-day:, 0.009,0.014,0.018,0.024,0.028,0.032,0.037,0.044,0.050
45-day:, 0.007,0.011,0.014,0.018,0.022,0.025,0.029,0.034,0.039
60-day:, 0.006,0.010,0.012,0.016,0.018,0.021,0.024,0.029,0.033

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 2.46,3.60,4.40,5.66,6.70,7.84,9.13,11.1,12.9
10-min:, 1.76,2.57,3.16,4.06,4.79,5.62,6.55,7.97,9.21
15-min:, 1.42,2.08,2.54,3.27,3.86,4.53,5.28,6.42,7.42
30-min:, 0.950,1.39,1.70,2.19,2.58,3.03,3.53,4.29,4.96
60-min:, 0.682,0.996,1.22,1.57,1.85,2.17,2.53,3.08,3.56
2-hr:, 0.493,0.726,0.890,1.14,1.35,1.57,1.82,2.20,2.53
3-hr:, 0.409,0.604,0.741,0.950,1.12,1.30,1.51,1.82,2.08
6-hr:, 0.286,0.425,0.521,0.668,0.784,0.912,1.05,1.27,1.45
12-hr:, 0.186,0.277,0.340,0.435,0.511,0.595,0.688,0.827,0.946
24-hr:, 0.115,0.172,0.212,0.272,0.319,0.371,0.429,0.515,0.588
