x0.25hr, x0.50hr, x0.75hr     , x1hr, x2hr , x3hr
   3.44,    1.96, 1.373333333 , 0.5 , 0.29 , 0.2466666667
   1.4 ,    1.4 , 1.226666667 , 0.46, 0.38 , 0.3266666667
   0.64,    0.58, 0.44        , 0.53, 0.31 , 0.2433333333
   0.64,    0.62, 0.6         , 0.67, 0.525, 0.4433333333
   1.16,    0.78, 0.6133333333, 0.45, 0.35 , 0.31
   1.2 ,    1.14, 0.9466666667, 0.94, 0.705, 0.49
   1.28,    0.84, 0.6533333333, 0.52, 0.41 , 0.34
   0.64,    0.48, 0.4533333333, 0.51, 0.34 , 0.3
   1   ,    0.98, 0.9466666667, 0.48, 0.345, 0.2833333333
   1.24,    1.08, 0.9466666667, 1.58, 0.89 , 0.6033333333
   0.72,    0.64, 0.56        , 0.63, 0.43 , 0.4
   1.16,    1.14, 1.04        , 0.37, 0.34 , 0.3
   1.32,    1.1 , 1.026666667 , 0.8 , 0.725, 0.5033333333
   0.6 ,    0.52, 0.4933333333, 0.81, 0.72 , 0.6633333333
   1.8 ,    1.2 , 0.9866666667, 0.67, 0.61 , 0.4633333333
   0.88,    0.7 , 0.6133333333, 0.34, 0.32 , 0.24
   1.2 ,    0.88, 0.6666666667, 0.47, 0.365, 0.2533333333
   1.2 ,    0.8 , 0.5333333333, 0.87, 0.685, 0.5166666667
   1.6 ,    1.4 , 1.2         , 1.1 , 1.05 , 0.9
   1.6 ,    1.4 , 1.066666667 , 0.5 , 0.45 , 0.3666666667
   2   ,    1.6 , 1.2         , 0.82, 0.6  , 0.5
   1.2 ,    1   , 0.8         , 0.52, 0.35 , 0.3333333333
   1.6 ,    0.8 , 0.5333333333, 0.6 , 0.4  , 0.3666666667
   3.2 ,    2.8 , 2           , 0.5 , 0.385, 0.3
   0.8 ,    0.6 , 0.5333333333, 1   , 0.7  , 0.5666666667
   0.8 ,    0.6 , 0.4         , 0.83, 0.6  , 0.4666666667
   1.6 ,    1.4 , 1.066666667 , 1.02, 0.815, 0.7
   1.6 ,    1.2 , 0.9333333333, 1.2 , 0.85 , 0.2666666667
   0.8 ,    0.8 , 0.6666666667, 0.4 , 0.335, 0.6666666667
   0.8 ,    0.8 , 0.6666666667, 1.6 , 0.95 , 0.4
   1.2 ,    0.8 , 0.6666666667, 0.56, 0.45 , 0.3666666667
   1.6 ,    1.4 , 1.066666667 , 0.4 , 0.35 , 0.4333333333
   1.2 ,    1   , 0.8         , 0.9 , 0.575, 0.4
   1.6 ,    1.6 , 1.466666667 , 0.74, 0.5  , 0.3
   0.8 ,    1.8 , 0.5333333333, 0.56, 0.4  , 0.4
   2.8 ,    0.6 , 1.333333333 , 0.6 , 0.48 , 0.3333333333
   1.6 ,    1.8 , 1.066666667 , 0.6 , 0.435, 0.45
   1.2 ,    1.4 , 1.066666667 , 1.02, 0.65 , 0.7666666667
   1.2 ,    1   , 0.9333333333, 0.6 , 0.4  , 0.3333333333
   1.2 ,    1   , 0.9333333333, 1.11, 0.77 , 0.6
   0.8 ,    1   , 0.4         , 0.4 , 0.3  , 0.2666666667
   1.2 ,    0.6 , 0.9333333333, 1.1 , 0.75 , 0.5666666667
       ,    1.2 ,             , 1   , 0.865, 0.6333333333
       ,        ,             , 0.74, 0.65 , 0.5666666667
       ,        ,             , 0.83, 0.72 , 0.5666666667
       ,        ,             , 0.37, 0.25 , 0.2
       ,        ,             , 0.65, 0.55 , 0.5
