Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation intensity
Time series type: Annual maximum
Project area: Southwest
Location name (ESRI Maps): Santa Barbara, California, USA
Station Name: -
Latitude: 34.4167 Degree
Longitude: -119.6844 Degree
Elevation (USGS): 14 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 2.08,2.80,3.26,3.85,4.30,4.74,5.18,5.77,6.22
10-min:, 1.49,2.01,2.34,2.76,3.08,3.40,3.71,4.13,4.45
15-min:, 1.20,1.62,1.88,2.23,2.48,2.74,3.00,3.34,3.59
30-min:, 0.954,1.29,1.50,1.77,1.98,2.18,2.39,2.66,2.86
60-min:, 0.709,0.957,1.12,1.32,1.47,1.62,1.77,1.97,2.12
2-hr:, 0.518,0.698,0.808,0.946,1.05,1.15,1.24,1.37,1.46
3-hr:, 0.424,0.569,0.658,0.769,0.849,0.926,1.00,1.10,1.17
6-hr:, 0.305,0.409,0.473,0.552,0.609,0.665,0.719,0.788,0.838
12-hr:, 0.197,0.264,0.307,0.360,0.400,0.439,0.479,0.531,0.570
24-hr:, 0.129,0.175,0.204,0.243,0.272,0.301,0.331,0.372,0.403
2-day:, 0.077,0.110,0.130,0.155,0.174,0.193,0.211,0.235,0.253
3-day:, 0.057,0.084,0.100,0.120,0.135,0.149,0.163,0.181,0.194
4-day:, 0.046,0.069,0.082,0.100,0.112,0.124,0.136,0.151,0.162
7-day:, 0.030,0.045,0.055,0.067,0.076,0.085,0.094,0.106,0.115
10-day:, 0.023,0.034,0.042,0.052,0.059,0.067,0.075,0.085,0.094
20-day:, 0.013,0.020,0.025,0.032,0.037,0.042,0.048,0.056,0.063
30-day:, 0.010,0.016,0.020,0.025,0.030,0.034,0.039,0.046,0.052
45-day:, 0.008,0.013,0.016,0.020,0.024,0.028,0.032,0.038,0.043
60-day:, 0.007,0.011,0.013,0.017,0.020,0.023,0.027,0.032,0.036

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 2.45,3.31,3.89,4.79,5.48,6.24,7.06,8.26,9.26
10-min:, 1.75,2.37,2.79,3.44,3.93,4.47,5.06,5.92,6.64
15-min:, 1.41,1.91,2.25,2.77,3.17,3.60,4.08,4.77,5.36
30-min:, 1.12,1.52,1.79,2.21,2.53,2.87,3.25,3.80,4.27
60-min:, 0.835,1.13,1.33,1.64,1.88,2.13,2.41,2.82,3.17
2-hr:, 0.610,0.824,0.964,1.18,1.34,1.51,1.69,1.96,2.17
3-hr:, 0.499,0.673,0.785,0.956,1.08,1.22,1.36,1.57,1.74
6-hr:, 0.359,0.484,0.564,0.687,0.778,0.875,0.978,1.13,1.25
12-hr:, 0.232,0.312,0.366,0.448,0.510,0.578,0.652,0.760,0.850
24-hr:, 0.151,0.206,0.242,0.296,0.338,0.384,0.433,0.505,0.565
2-day:, 0.091,0.129,0.154,0.190,0.217,0.245,0.275,0.319,0.354
3-day:, 0.067,0.098,0.119,0.147,0.168,0.190,0.213,0.246,0.272
4-day:, 0.054,0.081,0.098,0.122,0.139,0.158,0.177,0.205,0.227
7-day:, 0.035,0.053,0.065,0.082,0.095,0.108,0.123,0.144,0.162
10-day:, 0.026,0.040,0.049,0.063,0.074,0.085,0.098,0.116,0.131
20-day:, 0.015,0.024,0.030,0.039,0.046,0.054,0.063,0.076,0.088
30-day:, 0.012,0.019,0.024,0.031,0.037,0.044,0.052,0.063,0.073
45-day:, 0.010,0.015,0.019,0.025,0.030,0.035,0.042,0.052,0.060
60-day:, 0.008,0.012,0.016,0.021,0.025,0.030,0.035,0.043,0.051

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 1.78,2.40,2.76,3.13,3.40,3.64,3.84,4.07,4.21
10-min:, 1.27,1.72,1.98,2.24,2.44,2.60,2.75,2.92,3.02
15-min:, 1.03,1.38,1.60,1.81,1.96,2.10,2.22,2.35,2.43
30-min:, 0.818,1.10,1.27,1.44,1.56,1.68,1.77,1.88,1.94
60-min:, 0.608,0.819,0.944,1.07,1.16,1.24,1.31,1.39,1.44
2-hr:, 0.444,0.596,0.684,0.768,0.828,0.880,0.922,0.964,0.987
3-hr:, 0.364,0.487,0.558,0.624,0.671,0.711,0.744,0.776,0.792
6-hr:, 0.262,0.350,0.401,0.448,0.482,0.510,0.533,0.556,0.568
12-hr:, 0.169,0.226,0.260,0.292,0.316,0.337,0.355,0.375,0.386
24-hr:, 0.112,0.152,0.176,0.203,0.223,0.241,0.259,0.280,0.294
2-day:, 0.067,0.095,0.112,0.130,0.143,0.154,0.165,0.177,0.184
3-day:, 0.050,0.073,0.086,0.101,0.111,0.120,0.128,0.136,0.142
4-day:, 0.040,0.060,0.071,0.083,0.092,0.099,0.106,0.114,0.118
7-day:, 0.026,0.039,0.047,0.056,0.062,0.068,0.074,0.080,0.084
10-day:, 0.020,0.030,0.036,0.043,0.048,0.054,0.058,0.064,0.068
20-day:, 0.011,0.018,0.022,0.027,0.030,0.034,0.038,0.042,0.046
30-day:, 0.009,0.014,0.017,0.021,0.024,0.028,0.031,0.035,0.038
45-day:, 0.007,0.011,0.014,0.017,0.020,0.022,0.025,0.029,0.031
60-day:, 0.006,0.009,0.011,0.014,0.016,0.019,0.021,0.024,0.026

Date/time (GMT):  Tue Sep  2 08:25:22 2025
pyRunTime:  0.016881704330444336
